CONSECUTIVO;LETRA;CATALOG_KEY;NOMBRE;CAPITULO
5673;M;M459;ESPONDILITIS ANQUILOSANTE, SITIO NO ESPECIFICADO;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5674;M;M45X;ESPONDILITIS ANQUILOSANTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5675;M;M46;OTRAS ESPONDILOPATÍAS INFLAMATORIAS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5676;M;M460;ENTESOPATÍA VERTEBRAL;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5677;M;M461;SACROILIÍTIS, NO CLASIFICADA EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5678;M;M462;OSTEOMIELITIS DE VÉRTEBRA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5679;M;M463;INFECCIÓN DE DISCO INTERVERTEBRAL (PIÓGENA);ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5680;M;M464;DISCITIS, NO ESPECIFICADA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5681;M;M465;OTRAS ESPONDILOPATÍAS INFECCIOSAS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5682;M;M468;OTRAS ESPONDILOPATÍAS INFLAMATORIAS ESPECIFICADAS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5683;M;M469;ESPONDILOPATÍA INFLAMATORIA, NO ESPECIFICADA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5684;M;M47;ESPONDILOSIS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5685;M;M470;SÍNDROMES DE COMPRESIÓN DE LA ARTERIA ESPINAL O VERTEBRAL ANTERIOR;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5686;M;M471;OTRAS ESPONDILOSIS CON MIELOPATÍA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5687;M;M472;OTRAS ESPONDILOSIS CON RADICULOPATÍA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5688;M;M478;OTRAS ESPONDILOSIS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5689;M;M479;ESPONDILOSIS, NO ESPECIFICADA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5690;M;M48;OTRAS ESPONDILOPATÍAS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5691;M;M480;ESTENOSIS ESPINAL;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5692;M;M481;HIPEROSTOSIS ANQUILOSANTE [FORESTIER];ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5693;M;M482;"ESPONDILOPATÍA INTERESPINOSA (VÉRTEBRAS ""EN BESO"")";ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5694;M;M483;ESPONDILOPATÍA TRAUMÁTICA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5695;M;M484;FRACTURA DE VÉRTEBRA POR FATIGA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5696;M;M485;VÉRTEBRA COLAPSADA, NO CLASIFICADA EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5697;M;M488;OTRAS ESPONDILOPATÍAS ESPECIFICADAS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5698;M;M489;ESPONDILOPATÍA, NO ESPECIFICADA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5699;M;M49;ESPONDILOPATÍAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5700;M;M490;TUBERCULOSIS DE LA COLUMNA VERTEBRAL;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5701;M;M491;ESPONDILITIS POR BRUCELOSIS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5702;M;M492;ESPONDILITIS POR ENTEROBACTERIAS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5703;M;M493;ESPONDILOPATÍA EN OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5704;M;M494;ESPONDILOPATÍA NEUROPÁTICA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5705;M;M495;VÉRTEBRA COLAPSADA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5706;M;M498;ESPONDILOPATÍA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5707;M;M50;TRASTORNOS DE DISCO CERVICAL;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5708;M;M500;TRASTORNO DE DISCO CERVICAL CON MIELOPATÍA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5709;M;M501;TRASTORNO DE DISCO CERVICAL CON RADICULOPATÍA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5710;M;M502;OTROS DESPLAZAMIENTOS DE DISCO CERVICAL;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5711;M;M503;OTRAS DEGENERACIONES DE DISCO CERVICAL;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5712;M;M508;OTROS TRASTORNOS DE DISCO CERVICAL;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5713;M;M509;TRASTORNO DE DISCO CERVICAL, NO ESPECIFICADO;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5714;M;M51;OTROS TRASTORNOS DE LOS DISCOS INTERVERTEBRALES;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5715;M;M510;TRASTORNOS DE DISCOS INTERVERTEBRALES LUMBARES Y OTROS, CON MIELOPATÍA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5716;M;M511;TRASTORNOS DE DISCO LUMBAR Y OTROS, CON RADICULOPATÍA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5717;M;M512;OTROS DESPLAZAMIENTOS ESPECIFICADOS DE DISCO INTERVERTEBRAL;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5718;M;M513;OTRAS DEGENERACIONES ESPECIFICADAS DE DISCO INTERVERTEBRAL;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5719;M;M514;NÓDULOS DE SCHMORL;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5720;M;M518;OTROS TRASTORNOS ESPECIFICADOS DE LOS DISCOS INTERVERTEBRALES;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5721;M;M519;TRASTORNO DE LOS DISCOS INTERVERTEBRALES, NO ESPECIFICADO;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5722;M;M53;OTRAS DORSOPATÍAS, NO CLASIFICADAS EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5723;M;M530;SÍNDROME CERVICOCRANEAL;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5724;M;M531;SÍNDROME CERVICOBRAQUIAL;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5725;M;M532;INESTABILIDAD DE LA COLUMNA VERTEBRAL;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5726;M;M533;TRASTORNOS SACROCOCCÍGEOS, NO CLASIFICADOS EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5727;M;M538;OTRAS DORSOPATÍAS ESPECIFICADAS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5728;M;M539;DORSOPATÍA, NO ESPECIFICADA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5729;M;M54;DORSALGIA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5730;M;M540;PANICULITIS QUE AFECTA REGIONES DEL CUELLO Y DE LA ESPALDA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5731;M;M541;RADICULOPATÍA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5732;M;M542;CERVICALGIA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5733;M;M543;CIÁTICA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5734;M;M544;LUMBAGO CON CIÁTICA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5735;M;M545;LUMBAGO NO ESPECIFICADO;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5736;M;M546;DOLOR EN LA COLUMNA DORSAL;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5737;M;M548;OTRAS DORSALGIAS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5738;M;M549;DORSALGIA, NO ESPECIFICADA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5739;M;M60;MIOSITIS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5740;M;M600;MIOSITIS INFECCIOSA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5741;M;M601;MIOSITIS INTERSTICIAL;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5742;M;M602;GRANULOMA POR CUERPO EXTRAÑO EN TEJIDO BLANDO, NO CLASIFICADO EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5743;M;M608;OTRAS MIOSITIS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5744;M;M609;MIOSITIS, NO ESPECIFICADA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5745;M;M61;CALCIFICACIÓN Y OSIFICACIÓN DEL MÚSCULO;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5746;M;M610;MIOSITIS OSIFICANTE TRAUMÁTICA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5747;M;M611;MIOSITIS OSIFICANTE PROGRESIVA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5748;M;M612;CALCIFICACIÓN Y OSIFICACIÓN PARALÍTICA DEL MÚSCULO;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5749;M;M613;CALCIFICACIÓN Y OSIFICACIÓN DE LOS MÚSCULOS ASOCIADAS CON QUEMADURAS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5750;M;M614;OTRAS CALCIFICACIONES DEL MÚSCULO;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5751;M;M615;OTRAS OSIFICACIONES DEL MÚSCULO;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5752;M;M619;CALCIFICACIÓN Y OSIFICACIÓN DEL MÚSCULO, NO ESPECIFICADA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5753;M;M62;OTROS TRASTORNOS DE LOS MÚSCULOS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5754;M;M620;DIÁSTASIS DEL MÚSCULO;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5755;M;M621;OTROS DESGARROS (NO TRAUMÁTICOS) DEL MÚSCULO;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5756;M;M622;INFARTO ISQUÉMICO DEL MÚSCULO;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5757;M;M623;SÍNDROME DE INMOVILIDAD (PARAPLÉJICO);ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5758;M;M624;CONTRACTURA MUSCULAR;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5759;M;M625;ATROFIA Y DESGASTE MUSCULARES, NO CLASIFICADOS EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5760;M;M626;DISTENSIÓN MUSCULAR;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5761;M;M628;OTROS TRASTORNOS ESPECIFICADOS DE LOS MÚSCULOS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5762;M;M629;TRASTORNO MUSCULAR, NO ESPECIFICADO;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5763;M;M63;TRASTORNOS DE LOS MÚSCULOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5764;M;M630;MIOSITIS EN ENFERMEDADES BACTERIANAS CLASIFICADAS EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5765;M;M631;MIOSITIS EN INFECCIONES POR PROTOZOARIOS Y PARÁSITOS CLASIFICADOS EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5766;M;M632;MIOSITIS EN OTRAS ENFERMEDADES INFECCIOSAS CLASIFICADAS EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5767;M;M633;MIOSITIS EN SARCOIDOSIS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5768;M;M638;OTROS TRASTORNOS DE LOS MÚSCULOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5769;M;M65;SINOVITIS Y TENOSINOVITIS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5770;M;M650;ABSCESO DE VAINA TENDINOSA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5771;M;M651;OTRAS (TENO)SINOVITIS INFECCIOSAS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5772;M;M652;TENDINITIS CALCIFICADA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5773;M;M653;DEDO EN GATILLO;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5774;M;M654;TENOSINOVITIS DE ESTILOIDES RADIAL [DE QUERVAIN];ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5775;M;M658;OTRAS SINOVITIS Y TENOSINOVITIS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5776;M;M659;SINOVITIS Y TENOSINOVITIS, NO ESPECIFICADA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5777;M;M66;RUPTURA ESPONTÁNEA DE LA SINOVIA Y DEL TENDÓN;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5778;M;M660;RUPTURA DE QUISTE SINOVIAL POPLÍTEO;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5779;M;M661;RUPTURA DE LA SINOVIA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5780;M;M662;RUPTURA ESPONTÁNEA DE TENDONES EXTENSORES;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5781;M;M663;RUPTURA ESPONTÁNEA DE TENDONES FLEXORES;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5782;M;M664;RUPTURA ESPONTÁNEA DE OTROS TENDONES;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5783;M;M665;RUPTURA ESPONTÁNEA DE TENDÓN NO ESPECIFICADO;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5784;M;M67;OTROS TRASTORNOS DE LA SINOVIA Y DEL TENDÓN;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5785;M;M670;ACORTAMIENTO DEL TENDÓN DE AQUILES (ADQUIRIDO);ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5786;M;M671;OTRAS CONTRACTURAS DE TENDÓN (VAINA);ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5787;M;M672;HIPERTROFIA SINOVIAL, NO CLASIFICADA EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5788;M;M673;SINOVITIS TRANSITORIA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5789;M;M674;GANGLIÓN;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5790;M;M678;OTROS TRASTORNOS ESPECIFICADOS DE LA SINOVIA Y DEL TENDÓN;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5791;M;M679;TRASTORNO SINOVIAL Y TENDINOSO, NO ESPECIFICADO;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5792;M;M68;TRASTORNOS DE LOS TENDONES Y DE LA SINOVIA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5793;M;M680;SINOVITIS Y TENOSINOVITIS EN ENFERMEDADES BACTERIANAS CLASIFICADAS EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5794;M;M688;OTROS TRASTORNOS SINOVIALES Y TENDINOSOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5795;M;M70;TRASTORNOS DE LOS TEJIDOS BLANDOS RELACIONADOS CON EL USO, EL USO EXCESIVO Y LA PRESIÓN;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5796;M;M700;SINOVITIS CREPITANTE CRÓNICA DE LA MANO Y DE LA MUÑECA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5797;M;M701;BURSITIS DE LA MANO;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5798;M;M702;BURSITIS DEL OLÉCRANON;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5799;M;M703;OTRAS BURSITIS DEL CODO;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5800;M;M704;OTRAS BURSITIS PRERROTULIANAS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5801;M;M705;OTRAS BURSITIS DE LA RODILLA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5802;M;M706;BURSITIS DEL TROCÁNTER;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5803;M;M707;OTRAS BURSITIS DE LA CADERA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5804;M;M708;OTROS TRASTORNOS DE LOS TEJIDOS BLANDOS RELACIONADOS CON EL USO, EL USO EXCESIVO Y LA PRESIÓN;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5805;M;M709;TRASTORNO NO ESPECIFICADO DE LOS TEJIDOS BLANDOS RELACIONADO CON EL USO, EL USO EXCESIVO Y LA PRESIÓN;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5806;M;M71;OTRAS BURSOPATÍAS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5807;M;M710;ABSCESO DE LA BOLSA SINOVIAL;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5808;M;M711;OTRAS BURSITIS INFECCIOSAS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5809;M;M712;QUISTE SINOVIAL DEL HUECO POPLÍTEO [DE BAKER];ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5810;M;M713;OTROS QUISTES DE LA BOLSA SEROSA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5811;M;M714;DEPÓSITO DE CALCIO EN LA BOLSA SEROSA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5812;M;M715;OTRAS BURSITIS, NO CLASIFICADAS EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5813;M;M718;OTROS TRASTORNOS ESPECIFICADOS DE LA BOLSA SEROSA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5814;M;M719;BURSOPATÍA, NO ESPECIFICADA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5815;M;M72;TRASTORNOS FIBROBLÁSTICOS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5816;M;M720;FIBROMATOSIS DE LA APONEUROSIS PALMAR [DUPUYTREN];ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5817;M;M721;NÓDULOS INTERFALÁNGICOS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5818;M;M722;FIBROMATOSIS DE LA APONEUROSIS PLANTAR;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5819;M;M723;FASCITIS NODULAR;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5820;M;M724;FIBROMATOSIS SEUDOSARCOMATOSA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5821;M;M725;FASCITIS, NO CLASIFICADA EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5822;M;M726;FASCITIS NECROTIZANTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5823;M;M728;OTROS TRASTORNOS FIBROBLÁSTICOS;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5824;M;M729;TRASTORNO FIBROBLÁSTICO, NO ESPECIFICADO;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5825;M;M73;TRASTORNOS DE LOS TEJIDOS BLANDOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5826;M;M730;BURSITIS GONOCÓCICA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5827;M;M731;BURSITIS SIFILÍTICA;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
5828;M;M738;OTROS TRASTORNOS DE LOS TEJIDOS BLANDOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
